title:one2, start timestamp:1732081346.043956, stop timestamp:1732081374.528432, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:3649      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732081346.043956,1732081346.045952,57.000000,0.000000,4355.897461,4342.820313,4352.436035,4361.538574,4359.230957,4381.922852,4318.333496,4401.025879,4394.871582,4369.102539,4487.179688,4524.230957,4400.641113,4432.307617,0.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081346.051764,1732081346.053560,58.000000,0.000000,4358.717773,4345.128418,4357.179688,4358.333496,4357.051270,4377.307617,4317.820313,4398.077148,4392.820313,4366.025879,4488.717773,4526.153809,4404.871582,4437.307617,0.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081346.059573,1732081346.061368,59.000000,0.000000,4360.897461,4346.282227,4357.436035,4355.769043,4364.230957,4371.794922,4317.820313,4396.153809,4391.153809,4362.307617,4486.153809,4523.846191,4404.615234,4443.589844,0.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081346.067381,1732081346.069077,60.000000,0.000000,4359.230957,4341.666504,4353.077148,4356.666504,4358.077148,4375.256348,4319.358887,4396.922852,4391.538574,4365.641113,4487.436035,4523.589844,4405.641113,4443.846191,0.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,15.000000,0.000000,0.618473,0.399780,-0.603210,0.306274,0.964473,0.130387,-0.041997,-76.219193,64.266335,27.277225
1732081346.075189,1732081346.076885,61.000000,0.000000,4358.846191,4343.077148,4356.538574,4362.179688,4343.846191,4377.051270,4324.102539,4396.794922,4393.461426,4368.077148,4489.358887,4527.692383,4405.512695,4440.256348,0.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081346.082997,1732081346.084493,62.000000,0.000000,4359.358887,4350.128418,4356.282227,4365.384766,4351.410156,4374.743652,4320.000000,4396.282227,4392.179688,4366.025879,4487.820313,4523.589844,4401.538574,4438.589844,0.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081346.090806,1732081346.092301,63.000000,0.000000,4356.794922,4347.820313,4355.128418,4360.000000,4365.897461,4375.512695,4317.051270,4397.051270,4390.256348,4363.717773,4482.820313,4513.333496,4398.846191,4435.769043,0.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081346.098614,1732081346.100010,64.000000,0.000000,4354.871582,4343.589844,4354.743652,4356.410156,4363.205078,4376.538574,4318.205078,4396.922852,4393.077148,4366.666504,4482.563965,4510.897461,4400.128418,4435.000000,1.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,16.000000,0.000000,0.618602,0.399536,-0.603333,0.306091,0.971310,0.124527,-0.049322,-76.190880,64.305733,27.207886
1732081346.106422,1732081346.107818,65.000000,0.000000,4356.282227,4346.538574,4357.563965,4358.974121,4351.538574,4376.922852,4320.512695,4395.641113,4397.692383,4373.846191,4487.179688,4519.615234,4400.384766,4434.487305,1285.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081346.114230,1732081346.115426,66.000000,0.000000,4357.820313,4350.641113,4352.948730,4359.615234,4345.641113,4379.743652,4317.563965,4396.282227,4397.948730,4377.692383,4488.589844,4522.436035,4399.871582,4434.102539,1209.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
