title:one, start timestamp:1732081197.531125, stop timestamp:1732081225.859421, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:3629      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732081197.531125,1732081197.532739,109.000000,0.000000,4293.205078,4313.846191,4322.436035,4311.794922,4315.128418,4321.025879,4310.384766,4335.000000,4320.128418,4309.871582,4350.641113,4405.641113,4392.307617,4339.615234,1633.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081197.538933,1732081197.540347,110.000000,0.000000,4306.794922,4316.410156,4322.948730,4315.384766,4324.102539,4312.436035,4305.897461,4333.717773,4317.436035,4309.358887,4352.692383,4399.487305,4394.102539,4340.384766,1367.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081197.546742,1732081197.548155,111.000000,0.000000,4305.256348,4310.128418,4321.282227,4311.922852,4316.794922,4313.077148,4306.025879,4332.563965,4318.333496,4308.205078,4352.179688,4399.230957,4392.051270,4338.461426,1513.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081197.554550,1732081197.556063,112.000000,0.000000,4302.563965,4312.307617,4318.974121,4310.897461,4305.769043,4319.102539,4308.974121,4336.025879,4320.897461,4312.051270,4353.846191,4405.641113,4393.974121,4343.333496,1745.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,28.000000,0.000000,0.619130,0.391357,-0.604675,0.312866,0.968380,0.104505,-0.044439,-77.636757,61.689472,28.778090
1732081197.562358,1732081197.563871,113.000000,0.000000,4302.948730,4315.000000,4322.692383,4312.948730,4306.538574,4320.000000,4310.512695,4338.717773,4320.897461,4316.410156,4355.128418,4407.436035,4394.743652,4345.000000,1633.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081197.570166,1732081197.571480,114.000000,0.000000,4302.820313,4313.333496,4323.461426,4315.769043,4315.897461,4321.153809,4308.717773,4341.025879,4322.820313,4317.820313,4354.743652,4406.922852,4394.487305,4338.846191,1367.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081197.577975,1732081197.579288,115.000000,0.000000,4308.077148,4314.871582,4322.692383,4318.589844,4315.256348,4322.436035,4310.384766,4339.230957,4323.333496,4317.307617,4355.128418,4408.974121,4394.487305,4338.077148,1513.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081197.585783,1732081197.586996,116.000000,0.000000,4312.179688,4311.282227,4319.615234,4317.820313,4310.897461,4320.256348,4310.384766,4333.333496,4318.333496,4311.666504,4353.974121,4407.436035,4393.461426,4339.615234,1745.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,29.000000,0.000000,0.618758,0.392273,-0.604431,0.312927,0.979123,0.106947,-0.044927,-77.599106,62.015141,28.800253
1732081197.593591,1732081197.594804,117.000000,0.000000,4310.256348,4306.666504,4320.128418,4314.487305,4312.692383,4317.692383,4308.846191,4334.358887,4313.974121,4308.589844,4352.179688,4405.000000,4395.128418,4337.051270,1633.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081197.601399,1732081197.602412,118.000000,0.000000,4312.948730,4309.871582,4320.769043,4313.461426,4308.077148,4317.179688,4307.307617,4336.538574,4315.128418,4311.538574,4353.461426,4406.282227,4394.615234,4338.205078,1367.000000,0.000000,14.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
