title:3two, start timestamp:1732157176.145976, stop timestamp:1732157229.679297, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:6857      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732157176.145976,1732157176.146878,125.000000,0.000000,4290.256348,4282.692383,4315.897461,4298.461426,4285.897461,4280.641113,4331.025879,4398.205078,4295.897461,4278.589844,4475.512695,4491.025879,4328.974121,4380.897461,1680.000000,1.000000,25.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157176.153784,1732157176.154886,126.000000,0.000000,4297.563965,4282.820313,4315.000000,4302.179688,4279.487305,4280.256348,4328.846191,4397.948730,4293.461426,4276.666504,4468.333496,4493.333496,4328.846191,4384.871582,1528.000000,1.000000,25.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157176.161593,1732157176.162694,127.000000,0.000000,4296.153809,4281.153809,4314.487305,4298.974121,4279.615234,4278.974121,4332.820313,4397.051270,4291.410156,4274.358887,4466.922852,4495.641113,4327.820313,4387.436035,25.000000,1.000000,25.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157176.169401,1732157176.170602,0.000000,0.000000,4293.077148,4280.641113,4315.256348,4294.871582,4281.282227,4279.358887,4336.794922,4397.307617,4294.102539,4277.179688,4474.871582,4491.282227,4329.743652,4389.102539,0.000000,1.000000,25.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.515946,0.503845,-0.528015,0.448486,0.963985,0.057624,-0.058601,-34.658508,46.243240,31.310745
1732157176.177209,1732157176.178410,1.000000,0.000000,4291.153809,4280.128418,4316.666504,4295.641113,4281.025879,4279.743652,4332.820313,4399.230957,4293.974121,4279.615234,4476.410156,4491.538574,4335.256348,4390.384766,1588.000000,1.000000,25.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157176.185017,1732157176.186418,2.000000,0.000000,4289.230957,4279.102539,4318.461426,4295.128418,4284.230957,4279.743652,4330.641113,4400.000000,4292.051270,4277.179688,4471.794922,4491.666504,4334.871582,4387.179688,1386.000000,1.000000,25.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157176.192826,1732157176.194226,3.000000,0.000000,4288.846191,4279.358887,4320.256348,4293.589844,4278.974121,4280.897461,4336.153809,4397.948730,4291.666504,4277.692383,4476.153809,4490.769043,4332.563965,4386.025879,1409.000000,1.000000,25.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157176.200634,1732157176.202134,4.000000,0.000000,4290.512695,4278.974121,4316.410156,4293.974121,4278.077148,4279.743652,4335.769043,4395.769043,4295.000000,4279.487305,4480.128418,4491.666504,4338.205078,4388.461426,1404.000000,1.000000,25.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.516142,0.503845,-0.527771,0.448547,0.963985,0.057624,-0.058601,-34.786724,46.450359,30.903370
1732157176.208442,1732157176.209943,5.000000,0.000000,4291.538574,4278.974121,4314.487305,4294.358887,4294.615234,4276.666504,4327.563965,4396.794922,4294.358887,4277.563965,4477.820313,4491.282227,4344.102539,4390.000000,1235.000000,1.000000,25.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157176.216250,1732157176.217551,6.000000,0.000000,4292.307617,4281.025879,4317.563965,4293.846191,4292.051270,4277.692383,4327.436035,4399.487305,4297.307617,4282.179688,4484.230957,4498.077148,4343.589844,4391.538574,0.000000,1.000000,25.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
