title:4three, start timestamp:1732157522.082740, stop timestamp:1732157571.368388, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:6313      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732157522.082740,1732157522.084346,13.000000,0.000000,4284.871582,4282.179688,4312.051270,4298.077148,4263.846191,4285.000000,4334.871582,4403.205078,4301.410156,4277.948730,4474.487305,4501.282227,4359.102539,4412.692383,1648.000000,1.000000,24.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157522.090548,1732157522.091955,14.000000,0.000000,4277.051270,4281.153809,4312.436035,4296.153809,4265.128418,4289.743652,4335.897461,4400.128418,4298.077148,4274.230957,4472.436035,4496.025879,4353.205078,4406.025879,1536.000000,1.000000,24.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,1.000000,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1732157522.098356,1732157522.099763,15.000000,0.000000,4282.307617,4278.205078,4311.153809,4295.384766,4263.846191,4284.743652,4336.538574,4398.974121,4292.820313,4274.230957,4472.051270,4501.282227,4353.717773,4404.871582,1571.000000,1.000000,24.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157522.106164,1732157522.107471,16.000000,0.000000,4287.307617,4278.461426,4311.153809,4295.128418,4261.025879,4281.153809,4336.282227,4400.384766,4299.871582,4277.563965,4475.128418,4510.641113,4358.717773,4409.615234,0.000000,1.000000,24.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.521889,0.501343,-0.523499,0.449707,0.973752,0.041509,-0.040532,-35.007057,46.306080,30.935789
1732157522.113973,1732157522.115279,17.000000,0.000000,4290.000000,4280.256348,4312.051270,4296.666504,4263.717773,4283.461426,4336.410156,4398.846191,4307.948730,4277.820313,4475.384766,4508.333496,4356.153809,4414.230957,0.000000,1.000000,24.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157522.121781,1732157522.123287,18.000000,0.000000,4294.102539,4280.897461,4310.641113,4296.922852,4266.282227,4282.179688,4337.307617,4397.692383,4305.641113,4276.922852,4473.205078,4507.563965,4355.128418,4415.897461,0.000000,1.000000,24.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157522.129589,1732157522.131095,19.000000,0.000000,4296.153809,4281.538574,4312.820313,4296.666504,4258.333496,4279.487305,4335.769043,4399.743652,4306.922852,4278.717773,4475.000000,4513.333496,4365.000000,4416.666504,0.000000,1.000000,24.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157522.137397,1732157522.139004,20.000000,0.000000,4295.641113,4280.256348,4315.128418,4298.333496,4263.077148,4282.051270,4334.487305,4399.487305,4309.615234,4279.358887,4476.666504,4511.410156,4367.692383,4415.769043,0.000000,1.000000,24.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.524915,0.501831,-0.521362,0.448120,0.987425,0.068856,-0.032719,-34.839050,46.386257,31.077990
1732157522.145206,1732157522.146812,21.000000,0.000000,4295.256348,4281.025879,4311.922852,4296.538574,4280.641113,4281.282227,4335.897461,4397.948730,4299.102539,4277.948730,4475.000000,4507.692383,4357.307617,4412.820313,0.000000,1.000000,24.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157522.153014,1732157522.154820,22.000000,0.000000,4294.871582,4288.974121,4310.897461,4293.974121,4267.563965,4277.436035,4335.128418,4398.333496,4294.487305,4275.384766,4474.871582,4508.717773,4358.461426,4413.846191,0.000000,1.000000,24.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157522.160822,1732157522.162628,23.000000,0.000000,4294.615234,4297.692383,4312.563965,4296.410156,4243.589844,4280.000000,4335.897461,4398.461426,4305.769043,4278.077148,4475.256348,4511.025879,4369.102539,4416.922852,0.000000,1.000000,24.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157522.168630,1732157522.170336,24.000000,0.000000,4295.128418,4295.641113,4309.743652,4297.948730,4253.077148,4284.102539,4336.410156,4398.077148,4308.333496,4278.717773,4476.794922,4508.589844,4364.743652,4417.051270,0.000000,1.000000,24.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.526669,0.502258,-0.520386,0.446716,0.958125,0.114272,-0.020999,-34.669632,46.234535,31.109838
