title:three, start timestamp:1732081478.503209, stop timestamp:1732081504.707693, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:3357      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732081478.503209,1732081478.504463,125.000000,0.000000,4347.563965,4288.717773,4329.358887,4344.871582,4320.897461,4346.666504,4423.589844,4363.461426,4348.461426,4342.563965,4463.846191,4487.820313,4384.487305,4413.461426,1659.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081478.511017,1732081478.512471,126.000000,0.000000,4345.641113,4285.769043,4327.051270,4341.025879,4328.077148,4345.000000,4420.384766,4359.230957,4346.153809,4339.230957,4462.307617,4486.282227,4382.948730,4410.769043,1357.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081478.518825,1732081478.520279,127.000000,0.000000,4345.641113,4285.000000,4328.974121,4339.615234,4331.153809,4337.179688,4422.948730,4357.820313,4346.153809,4340.512695,4465.897461,4485.256348,4382.179688,4414.743652,13.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081478.526634,1732081478.528187,0.000000,0.000000,4347.179688,4286.922852,4330.256348,4345.256348,4324.615234,4337.820313,4428.461426,4362.436035,4346.153809,4339.358887,4466.410156,4486.922852,4383.205078,4417.051270,0.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.623772,0.404785,-0.591553,0.311646,0.961543,0.138689,-0.025882,-76.251823,64.591972,28.026190
1732081478.534442,1732081478.535995,1.000000,0.000000,4345.000000,4288.717773,4325.384766,4349.487305,4329.615234,4339.871582,4423.461426,4362.307617,4345.000000,4335.769043,4462.820313,4485.384766,4382.179688,4411.794922,1280.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081478.542250,1732081478.544003,2.000000,0.000000,4343.846191,4289.743652,4324.615234,4345.897461,4336.794922,4334.871582,4420.384766,4359.615234,4345.384766,4335.000000,4464.230957,4483.717773,4382.563965,4411.282227,1210.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081478.550058,1732081478.551812,3.000000,0.000000,4345.000000,4288.333496,4326.666504,4341.153809,4326.922852,4333.077148,4422.436035,4361.794922,4345.512695,4338.589844,4469.615234,4483.717773,4385.897461,4416.922852,1167.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081478.557867,1732081478.559720,4.000000,0.000000,4343.461426,4284.230957,4329.487305,4341.666504,4315.384766,4337.563965,4425.769043,4365.128418,4344.743652,4341.794922,4467.692383,4482.179688,4386.025879,4412.436035,1180.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.624100,0.405457,-0.591003,0.311157,0.962031,0.146502,-0.025394,-76.150642,64.717827,28.056213
1732081478.565675,1732081478.567528,5.000000,0.000000,4343.077148,4287.307617,4327.692383,4346.538574,4322.692383,4340.641113,4422.820313,4365.641113,4346.025879,4338.461426,4459.871582,4480.512695,4382.051270,4405.641113,1068.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081478.573483,1732081478.575536,6.000000,0.000000,4341.922852,4292.563965,4328.077148,4346.794922,4330.128418,4340.000000,4420.897461,4360.512695,4345.128418,4333.846191,4459.487305,4480.897461,4378.589844,4411.282227,195.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
