title:2four, start timestamp:1732157646.421475, stop timestamp:1732157699.080295, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:6745      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732157646.421475,1732157646.423158,65.000000,0.000000,4279.743652,4250.641113,4313.717773,4285.256348,4265.897461,4287.051270,4337.307617,4400.897461,4300.897461,4297.436035,4492.563965,4511.794922,4367.051270,4428.077148,1596.000000,1.000000,23.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157646.429283,1732157646.431166,66.000000,0.000000,4280.000000,4249.102539,4318.205078,4279.615234,4266.666504,4292.563965,4335.897461,4401.282227,4304.871582,4297.820313,4492.820313,4513.974121,4366.794922,4425.128418,1366.000000,1.000000,23.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157646.437091,1732157646.438974,67.000000,0.000000,4279.743652,4253.974121,4316.538574,4283.077148,4266.282227,4293.974121,4336.922852,4401.025879,4304.487305,4296.410156,4490.641113,4507.563965,4363.974121,4414.230957,1419.000000,1.000000,23.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157646.444899,1732157646.446883,68.000000,0.000000,4281.794922,4263.589844,4313.717773,4292.307617,4267.436035,4289.615234,4339.102539,4401.153809,4302.948730,4295.128418,4488.461426,4506.794922,4365.128418,4412.051270,1421.000000,1.000000,23.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,17.000000,0.000000,0.521441,0.480530,-0.550842,0.440186,0.970822,0.003907,-0.066414,-35.283981,45.860317,31.577005
1732157646.452708,1732157646.454691,69.000000,0.000000,4281.666504,4263.846191,4315.897461,4294.743652,4271.282227,4287.820313,4336.538574,4401.025879,4300.128418,4294.230957,4487.307617,4504.743652,4364.615234,4412.820313,1210.000000,1.000000,23.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157646.460516,1732157646.462699,70.000000,0.000000,4279.487305,4263.974121,4316.282227,4293.589844,4276.025879,4292.563965,4336.410156,4401.025879,4295.256348,4293.077148,4486.282227,4495.256348,4359.615234,4412.179688,0.000000,1.000000,23.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157646.468324,1732157646.470507,71.000000,0.000000,4279.871582,4266.666504,4314.615234,4293.077148,4277.563965,4289.230957,4340.512695,4401.153809,4298.717773,4293.974121,4488.077148,4494.871582,4357.563965,4409.615234,0.000000,1.000000,23.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157646.476133,1732157646.478415,72.000000,0.000000,4279.743652,4265.000000,4314.358887,4291.538574,4275.641113,4281.410156,4340.384766,4400.512695,4303.589844,4295.256348,4486.282227,4496.922852,4358.077148,4404.871582,1534.000000,1.000000,23.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.522444,0.479858,-0.550964,0.439575,0.961543,0.004883,-0.062508,-35.471691,45.806858,31.599041
1732157646.483941,1732157646.486223,73.000000,0.000000,4277.692383,4263.846191,4314.615234,4286.922852,4270.769043,4281.025879,4338.717773,4399.743652,4296.922852,4291.025879,4480.128418,4490.256348,4357.563965,4407.692383,1680.000000,1.000000,23.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732157646.491749,1732157646.494231,74.000000,0.000000,4278.589844,4265.512695,4313.846191,4283.461426,4266.153809,4280.512695,4340.256348,4398.461426,4293.974121,4290.384766,4482.179688,4489.743652,4358.077148,4414.230957,1544.000000,1.000000,23.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
