title:four2, start timestamp:1732081601.280318, stop timestamp:1732081633.450317, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:4121      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732081601.280318,1732081601.280449,105.000000,0.000000,4267.948730,4256.794922,4275.128418,4273.461426,4253.077148,4265.256348,4271.666504,4278.589844,4267.307617,4261.794922,4359.487305,4397.051270,4277.692383,4311.025879,1683.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.288126,1732081601.288457,106.000000,0.000000,4279.615234,4261.282227,4275.000000,4281.282227,4252.307617,4264.615234,4269.615234,4278.589844,4266.282227,4262.692383,4360.256348,4398.717773,4279.871582,4311.282227,1362.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.295934,1732081601.296265,107.000000,0.000000,4277.307617,4265.384766,4272.563965,4288.461426,4250.256348,4263.205078,4270.000000,4277.051270,4263.461426,4259.102539,4360.641113,4396.282227,4278.717773,4315.641113,1494.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.303743,1732081601.304174,108.000000,0.000000,4269.230957,4262.948730,4275.512695,4281.794922,4245.641113,4264.230957,4274.871582,4278.717773,4261.794922,4256.922852,4364.615234,4396.538574,4277.307617,4318.461426,1725.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.625557,0.400757,-0.594543,0.307556,0.970822,0.126969,-0.023440,-75.909737,63.885857,27.778044
1732081601.311551,1732081601.311982,109.000000,0.000000,4270.512695,4260.512695,4276.538574,4274.102539,4259.102539,4263.461426,4271.282227,4279.102539,4263.974121,4257.051270,4365.128418,4394.487305,4275.000000,4310.769043,1683.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.319359,1732081601.319990,110.000000,0.000000,4273.333496,4263.077148,4274.230957,4280.769043,4265.897461,4261.666504,4268.461426,4276.666504,4264.871582,4256.794922,4358.461426,4389.102539,4270.641113,4308.589844,1362.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.327167,1732081601.327798,111.000000,0.000000,4273.205078,4263.846191,4272.948730,4285.128418,4249.230957,4263.846191,4268.205078,4278.205078,4265.000000,4260.256348,4359.615234,4390.641113,4270.897461,4318.589844,1494.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.334975,1732081601.335706,112.000000,0.000000,4273.205078,4256.922852,4275.000000,4275.897461,4244.615234,4267.563965,4268.333496,4283.077148,4267.179688,4264.230957,4364.871582,4397.436035,4273.974121,4320.512695,1725.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.625364,0.401001,-0.594360,0.307983,0.971310,0.127945,-0.024417,-75.960220,63.985878,27.765215
1732081601.342784,1732081601.343514,113.000000,0.000000,4272.692383,4257.563965,4272.692383,4277.307617,4257.051270,4268.077148,4266.410156,4280.769043,4268.461426,4259.487305,4364.487305,4397.692383,4275.897461,4315.897461,1683.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.350592,1732081601.351522,114.000000,0.000000,4270.128418,4264.743652,4270.897461,4287.563965,4258.589844,4267.179688,4268.717773,4278.205078,4265.641113,4254.102539,4363.846191,4395.000000,4277.563965,4316.922852,1362.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.358400,1732081601.359330,115.000000,0.000000,4268.205078,4264.358887,4270.769043,4285.641113,4252.820313,4266.794922,4269.871582,4277.051270,4262.948730,4257.179688,4363.589844,4395.384766,4279.358887,4316.538574,1494.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.366208,1732081601.367239,116.000000,0.000000,4268.589844,4262.948730,4274.358887,4279.615234,4262.179688,4265.256348,4269.358887,4272.692383,4263.974121,4256.666504,4358.717773,4396.922852,4276.922852,4312.692383,1725.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.625323,0.401062,-0.594299,0.308105,0.971798,0.124527,-0.027835,-76.114441,64.168564,27.536491
1732081601.374017,1732081601.375047,117.000000,0.000000,4268.205078,4264.871582,4274.230957,4281.025879,4269.358887,4264.230957,4267.563965,4269.871582,4263.846191,4251.282227,4357.307617,4393.589844,4275.641113,4312.179688,1683.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.381825,1732081601.383055,118.000000,0.000000,4267.692383,4264.102539,4272.436035,4282.563965,4258.974121,4264.102539,4267.692383,4275.128418,4262.692383,4254.743652,4360.769043,4391.282227,4278.461426,4312.179688,1362.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.389633,1732081601.390863,119.000000,0.000000,4272.820313,4263.846191,4273.461426,4285.512695,4246.153809,4264.615234,4270.897461,4276.922852,4266.025879,4261.538574,4363.974121,4395.384766,4279.615234,4316.153809,1494.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.397442,1732081601.398771,120.000000,0.000000,4278.974121,4267.307617,4277.307617,4290.512695,4247.563965,4265.000000,4268.717773,4270.769043,4268.717773,4263.461426,4367.948730,4396.538574,4282.820313,4324.230957,1725.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.625323,0.401062,-0.594299,0.308105,0.960078,0.127457,-0.021975,-76.359367,64.316536,27.576223
1732081601.405250,1732081601.406579,121.000000,0.000000,4276.410156,4265.256348,4277.307617,4283.717773,4262.692383,4262.820313,4262.563965,4270.128418,4265.384766,4262.179688,4368.205078,4394.487305,4282.051270,4325.641113,1683.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.413058,1732081601.414587,122.000000,0.000000,4273.461426,4263.077148,4275.000000,4273.974121,4263.461426,4262.692383,4261.025879,4271.922852,4263.205078,4260.384766,4367.820313,4395.641113,4278.974121,4323.717773,1362.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.420866,1732081601.422396,123.000000,0.000000,4276.282227,4265.641113,4276.153809,4281.153809,4250.769043,4264.102539,4262.820313,4271.025879,4264.487305,4258.077148,4372.820313,4397.948730,4280.384766,4326.410156,1494.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.428675,1732081601.430304,124.000000,0.000000,4275.769043,4265.000000,4274.615234,4293.077148,4247.436035,4264.743652,4258.717773,4269.743652,4262.563965,4257.692383,4375.128418,4396.538574,4281.410156,4329.615234,1725.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.625302,0.401001,-0.594299,0.308228,0.975705,0.122574,-0.030277,-76.204422,63.956394,27.660074
1732081601.436483,1732081601.438112,125.000000,0.000000,4271.153809,4264.102539,4273.589844,4288.589844,4256.153809,4265.641113,4255.897461,4267.692383,4260.641113,4256.538574,4369.615234,4396.410156,4280.256348,4325.641113,1683.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.444291,1732081601.445720,126.000000,0.000000,4270.641113,4265.000000,4275.769043,4278.846191,4267.563965,4265.256348,4251.153809,4264.743652,4260.641113,4256.025879,4368.205078,4400.897461,4280.641113,4322.563965,1362.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.452099,1732081601.453528,127.000000,0.000000,4273.717773,4266.153809,4278.077148,4282.563965,4262.563965,4261.282227,4245.641113,4264.743652,4263.717773,4258.461426,4372.436035,4403.333496,4283.205078,4326.794922,13.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.459907,1732081601.461237,0.000000,0.000000,4274.743652,4265.897461,4271.922852,4291.410156,4246.282227,4261.922852,4243.333496,4273.461426,4266.538574,4262.307617,4370.769043,4404.230957,4282.692383,4329.102539,8.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.625174,0.400879,-0.594421,0.308411,0.988890,0.125504,-0.031742,-76.265579,63.934677,27.669661
1732081601.467716,1732081601.469045,1.000000,0.000000,4271.922852,4267.820313,4269.358887,4287.563965,4247.948730,4267.436035,4244.615234,4279.358887,4268.333496,4265.128418,4366.794922,4406.025879,4283.333496,4326.153809,1285.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.475524,1732081601.476653,2.000000,0.000000,4270.897461,4269.743652,4271.794922,4279.743652,4260.897461,4268.333496,4239.230957,4278.205078,4274.487305,4267.692383,4369.487305,4407.179688,4289.102539,4324.487305,1219.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.483332,1732081601.484462,3.000000,0.000000,4272.948730,4268.846191,4274.358887,4283.717773,4257.820313,4267.563965,4233.205078,4277.563965,4276.538574,4268.333496,4368.974121,4407.179688,4288.077148,4326.794922,1160.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081601.491140,1732081601.492170,4.000000,0.000000,4271.538574,4268.846191,4272.948730,4289.102539,4262.179688,4265.256348,4232.051270,4281.025879,4268.846191,4264.743652,4361.922852,4403.205078,4281.153809,4324.615234,1207.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.625106,0.400757,-0.594543,0.308472,0.981565,0.121109,-0.029789,-76.018456,63.823757,27.867426
1732081601.498949,1732081601.499978,5.000000,0.000000,4266.538574,4269.230957,4272.179688,4284.871582,4276.794922,4266.025879,4232.436035,4280.256348,4262.563965,4259.230957,4360.641113,4401.794922,4278.589844,4315.512695,1075.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
