title:four, start timestamp:1732081561.301977, stop timestamp:1732081591.441823, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:3861      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732081561.301977,1732081561.302153,105.000000,0.000000,4318.461426,4292.051270,4315.384766,4312.307617,4275.000000,4343.589844,4320.256348,4319.358887,4302.820313,4273.333496,4426.025879,4461.538574,4339.487305,4395.128418,1671.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081561.309785,1732081561.310161,106.000000,0.000000,4323.077148,4293.589844,4312.948730,4309.358887,4278.846191,4345.128418,4322.051270,4318.589844,4305.897461,4272.948730,4428.077148,4455.641113,4342.307617,4393.589844,1356.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081561.317593,1732081561.317969,107.000000,0.000000,4321.794922,4291.666504,4311.538574,4308.589844,4272.051270,4343.205078,4325.384766,4315.128418,4302.436035,4274.358887,4427.820313,4456.153809,4341.153809,4395.512695,1499.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081561.325402,1732081561.325678,108.000000,0.000000,4321.922852,4292.948730,4312.179688,4312.307617,4273.205078,4341.538574,4320.256348,4315.256348,4294.871582,4272.307617,4430.000000,4461.153809,4340.897461,4395.512695,1725.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.628733,0.407288,-0.594482,0.292236,0.972287,0.178733,-0.048346,-74.223076,66.212601,27.837263
1732081561.333210,1732081561.333486,109.000000,0.000000,4329.358887,4297.948730,4315.256348,4315.256348,4276.666504,4339.871582,4317.948730,4320.769043,4297.820313,4273.077148,4435.384766,4463.974121,4342.179688,4394.871582,1671.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081561.341018,1732081561.341494,110.000000,0.000000,4337.436035,4299.230957,4314.615234,4318.589844,4270.384766,4335.897461,4323.077148,4320.128418,4306.922852,4277.179688,4440.897461,4463.205078,4346.538574,4403.846191,1356.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081561.348826,1732081561.349302,111.000000,0.000000,4342.436035,4296.153809,4314.230957,4319.615234,4270.641113,4331.794922,4324.743652,4316.794922,4305.512695,4279.487305,4445.256348,4464.230957,4352.692383,4413.717773,1499.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081561.356635,1732081561.357010,112.000000,0.000000,4347.051270,4302.563965,4317.436035,4320.769043,4280.769043,4330.256348,4321.794922,4316.025879,4300.256348,4278.461426,4442.948730,4464.102539,4354.230957,4414.358887,1725.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.628454,0.406921,-0.594788,0.292725,0.980100,0.154804,-0.028812,-74.332359,66.312202,27.804850
1732081561.364443,1732081561.364819,113.000000,0.000000,4354.615234,4307.820313,4317.692383,4324.230957,4277.179688,4330.897461,4321.922852,4316.410156,4303.205078,4277.948730,4441.666504,4463.461426,4356.153809,4418.461426,1671.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081561.372251,1732081561.372427,114.000000,0.000000,4364.230957,4305.000000,4315.384766,4323.846191,4261.538574,4331.666504,4324.743652,4316.922852,4301.538574,4280.128418,4446.282227,4467.307617,4361.922852,4427.563965,1356.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081561.380059,1732081561.380235,115.000000,0.000000,4369.743652,4309.230957,4316.410156,4319.230957,4260.384766,4331.025879,4322.179688,4317.307617,4296.922852,4277.307617,4446.025879,4471.922852,4363.717773,4426.922852,1499.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081561.387868,1732081561.388143,116.000000,0.000000,4375.000000,4315.128418,4318.846191,4318.717773,4266.410156,4328.077148,4321.922852,4315.256348,4297.307617,4268.846191,4442.820313,4471.666504,4360.000000,4429.615234,1725.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.628351,0.406860,-0.594849,0.292908,0.980100,0.154804,-0.028812,-74.269211,66.474556,27.968596
1732081561.395676,1732081561.395951,117.000000,0.000000,4386.410156,4314.230957,4316.025879,4323.589844,4265.000000,4324.102539,4321.153809,4310.512695,4296.153809,4268.077148,4442.307617,4467.436035,4359.230957,4437.051270,1671.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
