title:five3, start timestamp:1732083280.776237, stop timestamp:1732083328.188021, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:6073      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732083280.776237,1732083280.777604,29.000000,0.000000,4291.153809,4276.153809,4289.487305,4285.641113,4265.128418,4281.282227,4288.461426,4293.717773,4276.538574,4270.128418,4417.563965,4495.384766,4299.871582,4354.487305,0.000000,0.000000,6.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732083280.784045,1732083280.785612,30.000000,0.000000,4289.358887,4277.948730,4286.410156,4286.410156,4268.205078,4279.487305,4286.666504,4290.256348,4275.128418,4271.025879,4417.563965,4492.179688,4300.128418,4359.615234,0.000000,0.000000,6.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732083280.791854,1732083280.793421,31.000000,0.000000,4289.487305,4279.615234,4285.512695,4288.974121,4265.384766,4280.000000,4288.205078,4293.333496,4276.538574,4274.743652,4413.333496,4490.641113,4294.615234,4360.128418,0.000000,0.000000,6.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732083280.799662,1732083280.801329,32.000000,0.000000,4291.922852,4278.717773,4289.230957,4288.205078,4266.538574,4279.230957,4289.230957,4294.230957,4276.282227,4271.666504,4415.384766,4494.230957,4295.641113,4356.153809,0.000000,0.000000,6.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,8.000000,0.000000,0.645837,0.391174,-0.571533,0.321289,0.955683,0.159687,0.048834,-74.095253,63.916031,33.565247
1732083280.807470,1732083280.809137,33.000000,0.000000,4291.282227,4275.256348,4286.410156,4287.051270,4267.436035,4277.563965,4285.769043,4292.820313,4276.666504,4269.358887,4421.282227,4491.922852,4303.974121,4357.563965,0.000000,0.000000,6.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732083280.815278,1732083280.816745,34.000000,0.000000,4291.282227,4273.717773,4287.307617,4287.948730,4265.384766,4278.846191,4287.436035,4294.743652,4280.000000,4276.666504,4423.333496,4487.563965,4305.512695,4362.692383,0.000000,0.000000,6.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732083280.823087,1732083280.824554,35.000000,0.000000,4292.307617,4275.000000,4292.692383,4289.487305,4266.794922,4280.641113,4288.717773,4297.051270,4280.000000,4280.000000,4421.282227,4488.205078,4299.615234,4363.717773,0.000000,0.000000,6.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732083280.830895,1732083280.832262,36.000000,0.000000,4289.230957,4273.974121,4294.487305,4288.333496,4267.820313,4279.230957,4290.128418,4294.615234,4275.000000,4274.230957,4422.820313,4488.077148,4300.128418,4364.102539,0.000000,0.000000,6.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,9.000000,0.000000,0.645333,0.392273,-0.571350,0.321289,0.951776,0.178733,0.034184,-74.330490,63.805317,33.584518
1732083280.838703,1732083280.840070,37.000000,0.000000,4287.307617,4273.205078,4287.692383,4288.077148,4264.487305,4277.051270,4289.230957,4292.948730,4274.487305,4272.307617,4425.384766,4482.179688,4305.384766,4365.512695,0.000000,0.000000,6.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732083280.846511,1732083280.847878,38.000000,0.000000,4290.128418,4275.769043,4290.256348,4289.230957,4264.230957,4279.358887,4289.358887,4295.769043,4277.307617,4273.205078,4421.794922,4481.410156,4302.820313,4360.384766,0.000000,0.000000,6.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732083280.854320,1732083280.855686,39.000000,0.000000,4290.512695,4276.666504,4294.743652,4288.974121,4266.282227,4282.051270,4290.128418,4298.589844,4276.794922,4270.769043,4420.000000,4483.846191,4296.922852,4357.436035,0.000000,0.000000,6.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732083280.862128,1732083280.863395,40.000000,0.000000,4285.769043,4272.948730,4294.487305,4286.922852,4265.000000,4281.025879,4292.948730,4296.666504,4272.820313,4269.487305,4420.256348,4481.538574,4297.307617,4363.461426,0.000000,0.000000,6.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,10.000000,0.000000,0.643749,0.396912,-0.570618,0.320068,0.948358,0.224637,-0.003418,-74.109367,63.810642,33.663460
1732083280.869936,1732083280.871203,41.000000,0.000000,4284.743652,4272.307617,4293.205078,4284.743652,4263.461426,4279.102539,4293.589844,4293.333496,4274.102539,4273.077148,4418.461426,4480.769043,4301.025879,4364.871582,0.000000,0.000000,6.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732083280.877745,1732083280.878811,42.000000,0.000000,4284.487305,4272.051270,4295.512695,4283.461426,4262.948730,4280.128418,4295.000000,4298.717773,4283.077148,4276.025879,4414.743652,4482.307617,4298.974121,4360.384766,0.000000,0.000000,6.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732083280.885553,1732083280.886620,43.000000,0.000000,4285.000000,4271.153809,4294.102539,4287.948730,4262.179688,4282.692383,4296.025879,4305.512695,4287.051270,4279.615234,4417.436035,4486.282227,4300.897461,4367.179688,0.000000,0.000000,6.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
