title:five, start timestamp:1732081645.974855, stop timestamp:1732081677.832532, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:4081      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732081645.974855,1732081645.976813,69.000000,0.000000,4307.692383,4285.256348,4317.051270,4302.563965,4302.692383,4306.282227,4320.897461,4340.256348,4327.307617,4312.436035,4445.641113,4459.615234,4414.615234,4392.179688,1065.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081645.982664,1732081645.984421,70.000000,0.000000,4311.025879,4296.666504,4317.563965,4311.538574,4302.563965,4304.230957,4317.692383,4334.102539,4327.051270,4310.641113,4441.153809,4451.410156,4414.230957,4383.846191,213.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081645.990472,1732081645.992229,71.000000,0.000000,4311.025879,4303.333496,4319.487305,4315.128418,4298.461426,4307.563965,4316.666504,4333.589844,4326.282227,4310.000000,4439.230957,4451.410156,4417.692383,4386.153809,1194.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081645.998280,1732081645.999938,72.000000,0.000000,4310.897461,4298.974121,4321.153809,4309.358887,4302.948730,4311.666504,4321.666504,4336.153809,4324.230957,4306.794922,4440.769043,4458.717773,4415.256348,4390.128418,1332.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.631018,0.399902,-0.587463,0.311096,0.968868,0.132829,-0.009767,-75.556862,63.563545,28.622702
1732081646.006088,1732081646.007746,73.000000,0.000000,4310.000000,4297.820313,4321.666504,4310.897461,4312.179688,4307.948730,4319.743652,4335.769043,4324.102539,4303.589844,4439.358887,4457.307617,4410.384766,4383.461426,1461.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081646.013897,1732081646.015754,74.000000,0.000000,4305.384766,4299.358887,4323.461426,4309.615234,4316.666504,4302.179688,4317.692383,4334.615234,4326.794922,4307.179688,4436.666504,4451.025879,4411.410156,4377.307617,1344.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081646.021705,1732081646.023562,75.000000,0.000000,4304.615234,4299.102539,4319.615234,4304.871582,4307.179688,4304.871582,4320.000000,4335.641113,4327.051270,4310.769043,4438.974121,4453.717773,4417.051270,4382.179688,1486.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081646.029513,1732081646.031270,76.000000,0.000000,4308.717773,4301.025879,4317.692383,4308.461426,4296.794922,4308.461426,4320.897461,4335.512695,4322.436035,4305.512695,4445.384766,4458.846191,4419.102539,4388.205078,1718.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,19.000000,0.000000,0.631021,0.399719,-0.587585,0.311096,0.978635,0.141619,-0.014162,-75.547729,63.559803,28.697721
1732081646.037321,1732081646.039079,77.000000,0.000000,4310.897461,4302.948730,4321.025879,4312.307617,4305.512695,4306.538574,4318.717773,4335.897461,4320.256348,4302.179688,4446.282227,4459.615234,4414.871582,4387.692383,1676.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081646.045129,1732081646.046687,78.000000,0.000000,4312.179688,4301.410156,4324.743652,4312.692383,4312.820313,4307.179688,4320.512695,4336.282227,4323.205078,4306.153809,4440.897461,4466.538574,4414.871582,4387.692383,1344.000000,0.000000,13.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,1.000000,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
