title:six2, start timestamp:1732081792.770173, stop timestamp:1732081821.410855, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:3669      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732081792.770173,1732081792.771429,53.000000,0.000000,4410.769043,4398.461426,4377.820313,4412.563965,4416.025879,4409.743652,4390.256348,4467.436035,4462.820313,4419.487305,4555.000000,4588.846191,4448.461426,4502.820313,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.777982,1732081792.779038,54.000000,0.000000,4420.000000,4409.230957,4375.897461,4413.717773,4411.153809,4408.205078,4388.205078,4462.179688,4452.692383,4416.538574,4561.666504,4588.846191,4468.461426,4517.179688,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.785790,1732081792.786846,55.000000,0.000000,4426.922852,4414.615234,4376.794922,4417.436035,4411.153809,4406.538574,4388.589844,4459.743652,4441.410156,4415.384766,4564.230957,4591.025879,4476.538574,4523.974121,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.793598,1732081792.794754,56.000000,0.000000,4422.820313,4404.102539,4378.461426,4416.922852,4411.282227,4403.333496,4391.153809,4457.692383,4443.589844,4418.077148,4565.384766,4592.563965,4472.179688,4521.666504,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.630626,0.407043,-0.595642,0.286072,0.962031,0.154316,-0.029789,-74.268311,65.980255,28.547573
1732081792.801407,1732081792.802562,57.000000,0.000000,4413.461426,4395.641113,4377.179688,4410.128418,4411.153809,4401.922852,4389.358887,4459.871582,4447.563965,4417.307617,4563.974121,4592.948730,4468.974121,4520.384766,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.809215,1732081792.810570,58.000000,0.000000,4409.358887,4398.333496,4375.641113,4407.179688,4407.307617,4407.179688,4386.025879,4462.307617,4453.077148,4420.128418,4565.512695,4593.333496,4470.384766,4521.794922,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.817023,1732081792.818378,59.000000,0.000000,4408.974121,4401.153809,4375.897461,4409.102539,4410.512695,4410.128418,4392.820313,4460.769043,4460.256348,4429.358887,4570.641113,4597.948730,4473.589844,4520.512695,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.824831,1732081792.826286,60.000000,0.000000,4406.410156,4397.051270,4371.538574,4409.102539,4423.974121,4408.589844,4395.128418,4465.641113,4462.820313,4434.743652,4568.846191,4601.666504,4475.000000,4515.000000,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,15.000000,0.000000,0.631049,0.408142,-0.594910,0.285095,0.964473,0.161152,-0.032719,-74.120667,66.030670,28.353535
1732081792.832640,1732081792.834095,61.000000,0.000000,4402.563965,4392.179688,4371.666504,4409.487305,4417.948730,4411.666504,4391.410156,4474.871582,4464.358887,4434.743652,4566.153809,4598.846191,4473.974121,4512.692383,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.840448,1732081792.842103,62.000000,0.000000,4405.769043,4398.589844,4375.769043,4409.102539,4402.820313,4413.589844,4392.436035,4474.230957,4464.871582,4437.179688,4570.384766,4593.461426,4474.871582,4516.922852,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.848256,1732081792.849911,63.000000,0.000000,4412.307617,4407.051270,4378.205078,4409.230957,4406.922852,4408.717773,4396.922852,4464.743652,4462.051270,4437.051270,4572.820313,4593.333496,4476.282227,4518.717773,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.856064,1732081792.857819,64.000000,0.000000,4410.641113,4402.051270,4375.000000,4413.077148,4414.743652,4408.846191,4395.384766,4460.128418,4459.743652,4430.000000,4569.871582,4592.051270,4476.025879,4516.666504,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,16.000000,0.000000,0.631379,0.409058,-0.594543,0.283813,0.960078,0.177756,-0.052252,-73.937744,66.006508,28.151363
1732081792.863872,1732081792.865627,65.000000,0.000000,4405.512695,4395.897461,4376.922852,4412.179688,4410.000000,4413.717773,4393.461426,4461.282227,4453.461426,4424.230957,4569.102539,4587.820313,4475.000000,4514.102539,1280.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.871681,1732081792.873635,66.000000,0.000000,4407.692383,4404.487305,4376.922852,4408.333496,4409.358887,4413.333496,4392.051270,4460.769043,4448.974121,4422.563965,4569.615234,4590.256348,4473.333496,4513.461426,1200.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.879489,1732081792.881443,67.000000,0.000000,4409.358887,4408.077148,4375.256348,4407.820313,4412.307617,4410.897461,4392.179688,4459.487305,4456.025879,4426.025879,4569.743652,4589.871582,4476.025879,4518.077148,1148.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.887297,1732081792.889351,68.000000,0.000000,4404.358887,4397.307617,4375.128418,4407.051270,4410.000000,4412.436035,4397.436035,4464.615234,4465.512695,4434.743652,4573.717773,4585.641113,4478.205078,4524.487305,1157.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,17.000000,0.000000,0.631482,0.409546,-0.594360,0.283264,0.960078,0.177756,-0.052252,-74.329567,66.195274,28.059271
1732081792.895105,1732081792.897160,69.000000,0.000000,4401.666504,4393.205078,4375.641113,4404.615234,4411.025879,4414.615234,4397.820313,4473.077148,4466.666504,4440.384766,4578.846191,4585.897461,4475.769043,4519.871582,1055.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.902914,1732081792.905168,70.000000,0.000000,4400.128418,4397.563965,4374.871582,4405.769043,4412.179688,4413.333496,4393.333496,4475.641113,4466.153809,4436.025879,4576.153809,4583.717773,4475.641113,4511.666504,203.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.910722,1732081792.912976,71.000000,0.000000,4396.410156,4398.461426,4373.589844,4408.974121,4411.538574,4413.077148,4393.717773,4470.000000,4465.897461,4428.974121,4569.230957,4573.717773,4476.922852,4512.948730,1185.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.918530,1732081792.920884,72.000000,0.000000,4398.461426,4400.384766,4373.589844,4410.384766,4412.307617,4415.000000,4398.205078,4465.512695,4462.692383,4427.563965,4568.205078,4564.487305,4471.794922,4514.358887,1325.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.632784,0.411743,-0.593018,0.279968,0.948846,0.245147,-0.062508,-74.438622,66.226501,28.059675
1732081792.926339,1732081792.928692,73.000000,0.000000,4404.358887,4402.179688,4374.871582,4406.410156,4410.128418,4414.487305,4396.666504,4464.487305,4460.128418,4426.538574,4570.897461,4562.179688,4470.000000,4518.077148,1452.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.934147,1732081792.936700,74.000000,0.000000,4402.307617,4399.743652,4376.922852,4402.436035,4407.692383,4412.179688,4394.615234,4462.820313,4458.589844,4421.666504,4571.153809,4566.794922,4474.230957,4525.512695,1344.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.941955,1732081792.944508,75.000000,0.000000,4401.282227,4404.358887,4375.128418,4408.846191,4408.333496,4414.230957,4393.846191,4463.589844,4457.948730,4420.000000,4570.512695,4570.256348,4473.589844,4525.769043,1469.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.949763,1732081792.952416,76.000000,0.000000,4406.922852,4410.641113,4375.384766,4412.563965,4403.846191,4416.922852,4395.256348,4464.230957,4457.948730,4424.487305,4570.128418,4566.922852,4472.436035,4520.256348,1696.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,19.000000,0.000000,0.634136,0.414185,-0.591675,0.276123,0.950800,0.247589,-0.067391,-74.581947,66.273468,28.151670
1732081792.957572,1732081792.960225,77.000000,0.000000,4410.769043,4408.077148,4375.769043,4408.077148,4399.871582,4414.230957,4393.974121,4461.410156,4456.538574,4427.051270,4569.358887,4562.820313,4474.615234,4519.230957,1671.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.965380,1732081792.968233,78.000000,0.000000,4410.128418,4404.102539,4378.461426,4409.102539,4400.000000,4411.282227,4395.000000,4460.384766,4454.615234,4424.615234,4569.615234,4565.512695,4475.128418,4518.205078,1344.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,1.000000,25.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,3.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1732081792.973188,1732081792.976041,79.000000,0.000000,4410.384766,4401.538574,4378.589844,4412.051270,4394.358887,4412.051270,4397.436035,4462.820313,4455.769043,4423.205078,4571.282227,4570.641113,4475.641113,4516.282227,1469.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.980996,1732081792.983949,80.000000,0.000000,4408.846191,4396.794922,4377.692383,4405.384766,4399.615234,4413.205078,4397.948730,4461.282227,4454.487305,4419.743652,4566.153809,4573.077148,4469.871582,4511.538574,1696.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,20.000000,0.000000,0.634136,0.414185,-0.591675,0.276123,0.984495,0.211940,-0.064949,-74.533043,66.371513,28.436186
1732081792.988805,1732081792.991757,81.000000,0.000000,4406.538574,4395.897461,4377.692383,4402.179688,4410.641113,4412.051270,4393.974121,4458.333496,4451.410156,4415.641113,4559.871582,4567.820313,4462.179688,4508.333496,1671.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081792.996613,1732081792.999366,82.000000,0.000000,4410.512695,4398.333496,4379.871582,4410.769043,4398.077148,4412.436035,4393.974121,4460.897461,4452.436035,4415.512695,4560.769043,4562.179688,4463.974121,4510.897461,1344.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081793.004421,1732081793.007174,83.000000,0.000000,4414.230957,4399.743652,4378.846191,4415.512695,4384.743652,4415.897461,4399.230957,4462.436035,4453.974121,4417.307617,4563.333496,4564.871582,4468.461426,4512.948730,1469.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081793.012229,1732081793.014882,84.000000,0.000000,4412.307617,4400.897461,4377.948730,4411.153809,4397.051270,4414.358887,4396.922852,4461.410156,4453.077148,4421.794922,4560.512695,4568.333496,4467.179688,4509.615234,1696.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,21.000000,0.000000,0.634608,0.414429,-0.591736,0.274536,0.977658,0.181663,-0.055671,-74.140099,66.459259,28.291645
1732081793.020038,1732081793.022690,85.000000,0.000000,4413.974121,4398.077148,4379.743652,4408.846191,4402.179688,4407.948730,4391.025879,4458.974121,4457.820313,4428.461426,4562.692383,4570.128418,4471.538574,4510.769043,1671.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081793.027846,1732081793.030299,86.000000,0.000000,4421.153809,4396.666504,4378.077148,4412.436035,4393.205078,4407.563965,4391.025879,4457.179688,4457.436035,4427.948730,4567.820313,4572.179688,4475.128418,4520.384766,1344.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081793.035654,1732081793.038107,87.000000,0.000000,4422.307617,4397.948730,4378.717773,4411.922852,4396.538574,4416.153809,4397.051270,4457.820313,4447.948730,4418.077148,4566.153809,4574.871582,4465.512695,4522.051270,1469.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081793.043462,1732081793.045815,88.000000,0.000000,4420.000000,4396.410156,4378.846191,4407.948730,4401.410156,4414.487305,4396.538574,4461.666504,4450.512695,4421.282227,4567.051270,4578.333496,4459.487305,4518.333496,1696.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.634846,0.408813,-0.594727,0.275940,0.952753,0.196313,-0.029300,-74.173477,66.703667,28.194565
1732081793.051271,1732081793.053623,89.000000,0.000000,4425.512695,4392.948730,4377.436035,4405.641113,4396.794922,4402.307617,4392.179688,4460.128418,4456.922852,4430.128418,4571.666504,4582.692383,4468.846191,4522.436035,1671.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081793.059079,1732081793.061232,90.000000,0.000000,4435.897461,4396.794922,4376.153809,4409.487305,4397.179688,4401.410156,4388.461426,4453.717773,4447.948730,4418.974121,4567.563965,4585.256348,4473.077148,4527.307617,1344.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081793.066887,1732081793.069040,91.000000,0.000000,4439.230957,4400.256348,4376.922852,4415.512695,4402.692383,4411.666504,4390.128418,4458.589844,4444.487305,4409.743652,4563.077148,4587.692383,4466.410156,4528.846191,1469.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081793.074695,1732081793.076748,92.000000,0.000000,4437.692383,4396.410156,4373.077148,4412.948730,4402.179688,4412.692383,4391.410156,4464.358887,4454.743652,4420.641113,4568.205078,4589.102539,4468.205078,4532.948730,1696.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.635198,0.405884,-0.595703,0.277344,0.942010,0.181174,-0.034184,-74.108849,66.759972,28.365931
1732081793.082504,1732081793.084557,93.000000,0.000000,4443.461426,4396.410156,4371.666504,4407.179688,4397.692383,4402.692383,4387.563965,4455.769043,4455.384766,4421.538574,4573.205078,4584.615234,4477.307617,4539.871582,1671.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081793.090312,1732081793.092165,94.000000,0.000000,4453.333496,4399.102539,4372.820313,4407.436035,4394.871582,4397.820313,4382.307617,4450.128418,4446.282227,4407.948730,4574.487305,4581.410156,4475.256348,4544.615234,1344.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081793.098120,1732081793.099973,95.000000,0.000000,4457.692383,4394.743652,4372.820313,4405.897461,4391.538574,4399.358887,4386.025879,4458.589844,4448.333496,4410.769043,4580.000000,4589.487305,4475.128418,4551.153809,1469.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081793.105929,1732081793.107682,96.000000,0.000000,4463.205078,4391.025879,4373.077148,4398.717773,4389.871582,4400.512695,4388.333496,4462.307617,4454.743652,4420.000000,4583.717773,4602.563965,4487.692383,4558.717773,1696.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.635198,0.405884,-0.595703,0.277344,0.951288,0.193383,-0.029789,-74.056503,66.805573,28.549738
1732081793.113737,1732081793.115490,97.000000,0.000000,4473.589844,4393.974121,4374.743652,4396.666504,4391.282227,4398.589844,4382.051270,4456.153809,4448.461426,4413.205078,4584.615234,4605.384766,4492.563965,4564.230957,1671.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081793.121545,1732081793.123498,98.000000,0.000000,4480.897461,4395.000000,4377.179688,4400.512695,4391.666504,4396.282227,4380.769043,4456.025879,4443.974121,4406.794922,4583.589844,4601.794922,4489.743652,4571.410156,1344.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
