title:six, start timestamp:1732081753.697677, stop timestamp:1732081781.651234, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:3581      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732081753.697677,1732081753.699253,41.000000,0.000000,4336.538574,4335.769043,4324.358887,4351.153809,4343.589844,4336.666504,4331.410156,4371.282227,4362.820313,4348.205078,4474.615234,4512.692383,4488.717773,4422.563965,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081753.705485,1732081753.707261,42.000000,0.000000,4341.410156,4337.436035,4323.846191,4352.436035,4345.512695,4336.025879,4332.179688,4373.205078,4361.666504,4346.922852,4476.922852,4511.153809,4479.102539,4424.743652,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081753.713293,1732081753.715070,43.000000,0.000000,4342.820313,4334.615234,4324.102539,4347.436035,4342.563965,4337.563965,4331.922852,4368.846191,4358.717773,4349.743652,4478.205078,4512.436035,4476.153809,4428.974121,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081753.721102,1732081753.722978,44.000000,0.000000,4341.538574,4332.948730,4326.153809,4346.794922,4346.794922,4338.589844,4332.436035,4365.000000,4359.102539,4352.179688,4481.538574,4512.051270,4470.769043,4427.820313,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,11.000000,0.000000,0.620410,0.405029,-0.612976,0.274414,0.969357,0.139177,-0.066414,-74.731133,66.381577,27.476561
1732081753.728910,1732081753.730786,45.000000,0.000000,4341.025879,4338.333496,4329.102539,4348.461426,4342.820313,4337.692383,4334.871582,4367.307617,4359.230957,4350.000000,4480.897461,4513.589844,4468.333496,4427.692383,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081753.736718,1732081753.738794,46.000000,0.000000,4341.794922,4339.615234,4327.436035,4343.333496,4345.512695,4339.358887,4333.205078,4372.051270,4359.230957,4352.179688,4480.128418,4516.153809,4460.512695,4430.512695,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081753.744527,1732081753.746602,47.000000,0.000000,4340.897461,4333.589844,4326.025879,4339.743652,4357.948730,4340.641113,4332.820313,4373.974121,4365.769043,4357.692383,4486.538574,4517.051270,4455.769043,4433.205078,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081753.752335,1732081753.754510,48.000000,0.000000,4342.692383,4338.974121,4326.538574,4348.974121,4352.179688,4340.769043,4332.307617,4373.974121,4371.794922,4360.128418,4489.487305,4512.820313,4456.794922,4436.153809,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.620258,0.404602,-0.613220,0.274841,0.964962,0.154804,-0.087901,-74.873886,66.280746,27.422680
1732081753.760143,1732081753.762318,49.000000,0.000000,4344.871582,4348.077148,4331.282227,4354.615234,4338.589844,4341.538574,4332.948730,4373.589844,4369.615234,4358.974121,4487.948730,4509.871582,4455.384766,4437.692383,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081753.767951,1732081753.770326,50.000000,0.000000,4343.846191,4344.615234,4328.717773,4352.051270,4344.615234,4341.922852,4333.205078,4372.051270,4365.769043,4358.077148,4488.461426,4514.230957,4450.128418,4436.410156,0.000000,0.000000,12.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
