title:1nine, start timestamp:1732158854.765143, stop timestamp:1732158902.582888, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:6125      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732158854.765143,1732158854.769533,65.000000,0.000000,4296.282227,4282.820313,4317.563965,4299.743652,4262.179688,4271.538574,4336.153809,4401.410156,4292.820313,4286.153809,4488.205078,4523.205078,4343.461426,4415.769043,1603.000000,1.000000,19.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732158854.772951,1732158854.777541,66.000000,0.000000,4293.333496,4280.128418,4316.025879,4294.102539,4265.897461,4274.487305,4335.256348,4402.820313,4294.743652,4285.897461,4488.846191,4522.692383,4346.410156,4416.922852,1357.000000,1.000000,19.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732158854.780760,1732158854.785349,67.000000,0.000000,4291.922852,4279.615234,4316.794922,4294.102539,4268.461426,4276.666504,4335.000000,4405.128418,4293.077148,4284.230957,4490.384766,4520.000000,4346.153809,4419.615234,1421.000000,1.000000,19.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732158854.788568,1732158854.793257,68.000000,0.000000,4293.717773,4281.025879,4316.922852,4295.897461,4270.769043,4275.769043,4336.282227,4407.948730,4293.461426,4286.025879,4490.384766,4524.102539,4343.846191,4418.846191,1437.000000,1.000000,19.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,17.000000,0.000000,0.520979,0.506409,-0.511719,0.458557,0.948846,0.059089,-0.039556,-34.735054,45.726093,31.212160
1732158854.796376,1732158854.801065,69.000000,0.000000,4295.000000,4283.333496,4313.974121,4296.922852,4277.179688,4277.692383,4336.922852,4407.948730,4294.871582,4283.589844,4486.922852,4518.717773,4343.846191,4413.589844,1200.000000,1.000000,19.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732158854.804185,1732158854.809073,70.000000,0.000000,4296.025879,4282.563965,4313.589844,4296.153809,4274.615234,4278.077148,4336.410156,4402.051270,4295.000000,4284.230957,4486.025879,4509.230957,4349.358887,4415.256348,0.000000,1.000000,19.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732158854.811993,1732158854.816882,71.000000,0.000000,4297.820313,4278.974121,4316.794922,4293.717773,4271.538574,4271.538574,4336.282227,4399.615234,4295.512695,4292.307617,4490.256348,4513.461426,4352.436035,4423.717773,0.000000,1.000000,19.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732158854.819801,1732158854.824590,72.000000,0.000000,4297.563965,4278.717773,4316.666504,4294.358887,4281.666504,4265.512695,4336.410156,4402.948730,4295.512695,4292.948730,4491.153809,4515.769043,4349.487305,4423.333496,1541.000000,1.000000,19.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.521333,0.506470,-0.511353,0.458496,0.955683,0.079600,-0.030277,-34.848728,45.493137,30.886848
1732158854.827609,1732158854.832398,73.000000,0.000000,4296.153809,4281.282227,4316.025879,4296.538574,4281.538574,4267.563965,4336.666504,4400.256348,4294.615234,4288.333496,4487.948730,4511.538574,4350.897461,4416.410156,1695.000000,1.000000,19.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732158854.835418,1732158854.840007,74.000000,0.000000,4296.153809,4282.051270,4313.846191,4297.692383,4262.307617,4275.000000,4336.666504,4398.461426,4295.128418,4293.333496,4489.230957,4514.230957,4352.692383,4416.025879,1568.000000,1.000000,19.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
