title:nine2, start timestamp:1732082025.675255, stop timestamp:1732082053.285262, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:3537      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732082025.675255,1732082025.676777,57.000000,0.000000,4320.897461,4302.179688,4320.512695,4324.230957,4312.051270,4319.358887,4315.512695,4339.487305,4330.512695,4319.615234,4445.769043,4451.666504,4351.153809,4381.794922,0.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732082025.683063,1732082025.684385,58.000000,0.000000,4326.282227,4301.666504,4317.948730,4327.051270,4315.769043,4320.128418,4313.461426,4343.333496,4332.820313,4324.102539,4445.512695,4448.974121,4353.717773,4388.205078,0.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732082025.690871,1732082025.692193,59.000000,0.000000,4331.666504,4311.666504,4320.641113,4329.743652,4330.769043,4316.153809,4313.205078,4340.128418,4330.897461,4326.794922,4437.436035,4450.769043,4355.641113,4393.077148,0.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732082025.698679,1732082025.699902,60.000000,0.000000,4328.974121,4315.128418,4318.846191,4331.538574,4325.512695,4315.769043,4314.615234,4336.922852,4328.077148,4321.025879,4437.692383,4459.358887,4356.410156,4392.307617,0.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,15.000000,0.000000,0.627591,0.406860,-0.600037,0.283813,0.975217,0.155781,-0.062508,-75.028488,66.329735,28.338593
1732082025.706488,1732082025.707710,61.000000,0.000000,4327.051270,4311.538574,4317.948730,4335.000000,4305.000000,4317.820313,4315.897461,4341.410156,4330.512695,4319.230957,4454.871582,4469.230957,4356.922852,4397.436035,0.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732082025.714296,1732082025.715318,62.000000,0.000000,4330.000000,4312.692383,4320.897461,4333.461426,4306.666504,4318.974121,4316.153809,4344.615234,4331.282227,4323.846191,4457.820313,4468.333496,4358.974121,4400.000000,0.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732082025.722104,1732082025.723126,63.000000,0.000000,4329.487305,4315.256348,4325.128418,4329.487305,4319.743652,4318.846191,4317.051270,4340.128418,4328.205078,4325.000000,4446.025879,4462.692383,4360.897461,4396.794922,0.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732082025.729912,1732082025.731035,64.000000,0.000000,4326.410156,4312.563965,4320.384766,4329.487305,4312.692383,4313.205078,4316.666504,4338.205078,4329.615234,4325.512695,4452.307617,4464.358887,4362.307617,4400.256348,1.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,16.000000,0.000000,0.627031,0.407288,-0.600159,0.284180,0.968380,0.162618,-0.062996,-74.928070,66.488747,28.337593
1732082025.737721,1732082025.738843,65.000000,0.000000,4325.897461,4307.563965,4319.230957,4326.410156,4306.153809,4311.410156,4315.000000,4341.282227,4331.025879,4326.538574,4457.820313,4469.230957,4360.512695,4403.333496,1294.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732082025.745529,1732082025.746851,66.000000,0.000000,4325.512695,4308.077148,4323.205078,4322.179688,4314.871582,4320.128418,4314.615234,4342.563965,4331.666504,4325.897461,4448.974121,4467.692383,4361.282227,4399.743652,1215.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
