title:nine, start timestamp:1732081986.977431, stop timestamp:1732082019.147457, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:4121      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732081986.977431,1732081986.979993,93.000000,0.000000,4341.922852,4326.666504,4325.256348,4338.717773,4338.589844,4335.000000,4314.743652,4356.410156,4344.743652,4333.589844,4445.769043,4465.512695,4352.563965,4403.974121,1678.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081986.985239,1732081986.987601,94.000000,0.000000,4337.563965,4324.102539,4327.051270,4333.333496,4326.538574,4333.333496,4317.179688,4353.589844,4346.282227,4336.538574,4444.230957,4471.794922,4353.461426,4404.358887,1372.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081986.993047,1732081986.995410,95.000000,0.000000,4334.615234,4323.974121,4323.333496,4335.641113,4331.922852,4332.692383,4317.563965,4355.384766,4348.589844,4335.256348,4442.179688,4472.179688,4354.358887,4402.948730,1492.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081987.000856,1732081987.003118,96.000000,0.000000,4334.871582,4326.410156,4323.333496,4340.128418,4338.205078,4333.846191,4314.230957,4358.589844,4347.948730,4333.717773,4443.333496,4467.948730,4353.589844,4402.692383,1720.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.638511,0.403625,-0.591736,0.281494,0.966915,0.162618,-0.018557,-73.701332,68.209999,29.621664
1732081987.008664,1732081987.010926,97.000000,0.000000,4337.179688,4325.641113,4325.384766,4336.666504,4329.487305,4335.000000,4316.410156,4361.410156,4350.256348,4335.000000,4446.282227,4473.589844,4355.128418,4406.794922,1678.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081987.016472,1732081987.018934,98.000000,0.000000,4341.410156,4322.436035,4325.769043,4330.128418,4328.461426,4333.717773,4320.256348,4362.307617,4350.769043,4334.230957,4446.410156,4479.615234,4356.153809,4407.692383,1372.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081987.024280,1732081987.026742,99.000000,0.000000,4342.948730,4321.666504,4324.230957,4327.179688,4341.282227,4331.794922,4316.538574,4361.153809,4346.410156,4333.974121,4442.692383,4472.179688,4354.871582,4403.205078,1492.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081987.032088,1732081987.034451,100.000000,0.000000,4339.358887,4322.179688,4323.717773,4329.358887,4337.179688,4333.717773,4316.410156,4358.846191,4346.794922,4335.641113,4443.205078,4466.025879,4354.487305,4402.179688,1720.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.637497,0.403992,-0.592346,0.281982,0.969357,0.167013,-0.020510,-73.869751,67.881767,29.510214
1732081987.039897,1732081987.042259,101.000000,0.000000,4335.897461,4322.307617,4323.461426,4331.538574,4321.794922,4335.641113,4321.538574,4358.717773,4349.743652,4331.153809,4447.820313,4471.025879,4356.153809,4404.743652,1678.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732081987.047705,1732081987.050267,102.000000,0.000000,4333.717773,4324.358887,4324.102539,4331.025879,4325.000000,4334.487305,4321.666504,4358.846191,4346.538574,4326.666504,4445.769043,4473.717773,4357.820313,4404.743652,1372.000000,0.000000,11.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
