title:left, start timestamp:1732155910.804516, stop timestamp:1732155946.659956, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:4593      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732155910.804516,1732155910.805531,121.000000,0.000000,4325.512695,4305.256348,4316.025879,4316.410156,4282.307617,4318.461426,4342.563965,4390.384766,4304.871582,4286.922852,4445.641113,4488.461426,4346.538574,4415.384766,1705.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155910.812325,1732155910.813539,122.000000,0.000000,4328.974121,4307.179688,4315.769043,4317.820313,4291.282227,4312.307617,4344.743652,4390.897461,4300.641113,4279.615234,4444.871582,4489.230957,4345.128418,4413.589844,1544.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155910.820133,1732155910.821347,123.000000,0.000000,4336.666504,4308.461426,4315.384766,4321.538574,4288.846191,4311.410156,4343.077148,4390.256348,4298.461426,4279.230957,4447.179688,4492.436035,4345.000000,4418.717773,1583.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155910.827941,1732155910.829255,124.000000,0.000000,4333.717773,4304.230957,4312.436035,4319.230957,4302.051270,4311.410156,4340.384766,4390.769043,4300.256348,4283.205078,4446.538574,4493.077148,4344.743652,4417.307617,1728.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.672366,-0.077759,-0.717468,-0.164673,0.975705,0.127457,-0.034672,-66.934196,38.029659,44.463245
1732155910.835750,1732155910.837064,125.000000,0.000000,4326.410156,4300.256348,4311.794922,4314.871582,4304.358887,4303.077148,4343.077148,4391.794922,4303.205078,4284.487305,4446.538574,4491.538574,4344.487305,4414.487305,1705.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155910.843558,1732155910.845072,126.000000,0.000000,4328.974121,4299.615234,4314.615234,4317.307617,4279.743652,4302.563965,4346.025879,4392.179688,4305.128418,4285.128418,4450.384766,4493.077148,4346.282227,4417.948730,1544.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155910.851366,1732155910.852880,127.000000,0.000000,4332.948730,4300.384766,4316.666504,4320.128418,4278.205078,4309.487305,4343.205078,4392.436035,4301.410156,4284.358887,4450.128418,4492.051270,4346.666504,4417.179688,30.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155910.859174,1732155910.860788,0.000000,0.000000,4328.974121,4298.461426,4316.282227,4317.563965,4295.769043,4307.179688,4342.179688,4393.333496,4300.897461,4284.102539,4448.589844,4490.128418,4343.205078,4413.974121,0.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.672608,-0.076965,-0.717102,-0.165649,0.962031,0.124039,-0.025394,-66.876701,38.037357,44.456894
1732155910.866982,1732155910.868596,1.000000,0.000000,4326.282227,4298.077148,4314.871582,4316.153809,4294.358887,4301.025879,4342.948730,4392.436035,4306.794922,4290.000000,4454.487305,4491.410156,4345.769043,4416.410156,1619.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155910.874791,1732155910.876604,2.000000,0.000000,4325.000000,4298.205078,4316.153809,4315.641113,4288.333496,4299.743652,4341.153809,4391.666504,4304.487305,4292.307617,4456.666504,4492.436035,4347.692383,4417.820313,1431.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155910.882599,1732155910.884412,3.000000,0.000000,4317.051270,4296.282227,4314.487305,4314.102539,4295.641113,4299.615234,4341.410156,4390.897461,4297.436035,4287.820313,4447.307617,4491.410156,4342.179688,4412.820313,1434.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155910.890407,1732155910.892320,4.000000,0.000000,4315.000000,4297.820313,4312.307617,4313.205078,4293.717773,4298.717773,4346.410156,4389.871582,4300.897461,4288.717773,4443.589844,4488.717773,4341.282227,4410.897461,1406.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.672574,-0.076233,-0.716858,-0.167175,0.978147,0.141131,-0.041021,-66.793465,38.131924,44.580086
1732155910.898215,1732155910.900129,5.000000,0.000000,4321.666504,4304.358887,4311.025879,4317.051270,4299.102539,4298.974121,4342.820313,4390.128418,4306.922852,4293.205078,4454.230957,4490.256348,4349.358887,4413.205078,1260.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155910.906024,1732155910.908137,6.000000,0.000000,4321.410156,4305.000000,4316.410156,4320.641113,4319.743652,4297.692383,4338.846191,4390.769043,4304.102539,4291.794922,4457.948730,4494.230957,4351.282227,4415.128418,0.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155910.913832,1732155910.915945,7.000000,0.000000,4315.000000,4300.384766,4316.025879,4319.230957,4314.358887,4301.794922,4342.563965,4391.153809,4306.282227,4292.692383,4449.102539,4488.717773,4343.461426,4413.717773,0.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155910.921640,1732155910.923653,8.000000,0.000000,4313.589844,4300.128418,4313.205078,4316.282227,4290.384766,4311.025879,4345.128418,4391.410156,4308.589844,4292.179688,4445.897461,4481.794922,4341.410156,4405.769043,1543.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.672543,-0.075562,-0.716858,-0.167603,0.975705,0.136247,-0.041021,-66.927704,37.980194,44.786533
1732155910.929448,1732155910.931461,9.000000,0.000000,4311.410156,4301.153809,4312.563965,4315.641113,4292.307617,4315.128418,4344.230957,4390.384766,4299.230957,4282.820313,4446.153809,4477.436035,4342.307617,4397.436035,1705.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155910.937256,1732155910.939070,10.000000,0.000000,4305.000000,4296.282227,4316.538574,4314.102539,4304.615234,4314.230957,4345.641113,4389.615234,4298.717773,4280.128418,4443.333496,4476.922852,4336.025879,4395.384766,1544.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155910.945065,1732155910.946878,11.000000,0.000000,4306.410156,4293.717773,4315.641113,4314.358887,4301.410156,4310.641113,4345.256348,4389.102539,4308.974121,4288.077148,4447.179688,4482.692383,4337.307617,4397.436035,1583.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155910.952873,1732155910.954586,12.000000,0.000000,4311.794922,4296.410156,4315.384766,4315.897461,4309.102539,4305.641113,4343.717773,4387.436035,4308.974121,4293.717773,4451.282227,4486.666504,4346.282227,4397.948730,1728.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.672068,-0.072937,-0.717102,-0.169617,0.969845,0.159199,-0.038091,-66.774773,38.153957,44.778759
1732155910.960681,1732155910.962395,13.000000,0.000000,4309.871582,4297.692383,4313.333496,4315.769043,4320.769043,4305.897461,4343.333496,4386.922852,4310.256348,4294.871582,4448.077148,4485.769043,4344.743652,4398.333496,1705.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
