title:1up, start timestamp:1732156334.104894, stop timestamp:1732156389.637112, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:7113      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732156334.104894,1732156334.106251,61.000000,0.000000,4282.051270,4297.692383,4315.384766,4305.641113,4289.230957,4281.794922,4337.563965,4392.307617,4308.333496,4285.769043,4459.871582,4490.769043,4340.128418,4396.410156,0.000000,1.000000,28.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732156334.112702,1732156334.113859,62.000000,0.000000,4281.410156,4296.410156,4314.615234,4301.410156,4288.974121,4285.384766,4336.153809,4393.974121,4307.307617,4286.922852,4459.487305,4489.102539,4339.230957,4397.948730,0.000000,1.000000,28.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732156334.120510,1732156334.121667,63.000000,0.000000,4282.179688,4295.256348,4313.461426,4298.717773,4285.769043,4291.153809,4335.000000,4393.333496,4309.487305,4290.641113,4459.487305,4490.897461,4340.769043,4401.922852,0.000000,1.000000,28.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732156334.128318,1732156334.129575,64.000000,0.000000,4280.897461,4293.589844,4314.230957,4299.102539,4286.666504,4291.410156,4337.692383,4393.846191,4307.051270,4294.871582,4459.615234,4492.307617,4343.461426,4400.769043,0.000000,1.000000,28.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,16.000000,0.000000,0.671806,-0.086060,-0.724243,-0.129395,0.980100,0.065438,-0.049322,-66.688187,33.515064,44.719017
1732156334.136127,1732156334.137384,65.000000,0.000000,4279.743652,4291.538574,4311.025879,4299.743652,4287.948730,4286.153809,4337.692383,4395.128418,4301.025879,4294.615234,4459.102539,4492.692383,4342.948730,4396.153809,1594.000000,1.000000,28.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732156334.143935,1732156334.145392,66.000000,0.000000,4280.897461,4292.051270,4311.922852,4302.563965,4283.205078,4286.025879,4336.410156,4394.487305,4300.128418,4294.102539,4458.589844,4492.692383,4339.487305,4398.077148,1421.000000,1.000000,28.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732156334.151743,1732156334.153200,67.000000,0.000000,4282.051270,4293.205078,4313.589844,4305.897461,4283.205078,4290.512695,4337.692383,4395.128418,4305.000000,4296.538574,4457.820313,4492.563965,4338.589844,4398.846191,1416.000000,1.000000,28.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732156334.159551,1732156334.161108,68.000000,0.000000,4280.128418,4293.461426,4313.205078,4303.333496,4296.794922,4287.179688,4336.025879,4397.051270,4305.769043,4297.307617,4456.666504,4490.641113,4336.794922,4390.897461,1401.000000,1.000000,28.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,17.000000,0.000000,0.671900,-0.086548,-0.723999,-0.129944,0.980100,0.065438,-0.049322,-66.557434,33.290535,44.297405
1732156334.167359,1732156334.168916,69.000000,0.000000,4277.692383,4294.102539,4311.410156,4301.794922,4297.563965,4285.641113,4333.974121,4395.769043,4306.153809,4297.051270,4458.205078,4488.846191,4334.230957,4390.000000,1245.000000,1.000000,28.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732156334.175168,1732156334.176924,70.000000,0.000000,4278.717773,4294.615234,4313.974121,4305.128418,4280.256348,4293.333496,4336.153809,4392.179688,4310.384766,4300.128418,4460.128418,4492.692383,4339.615234,4395.128418,0.000000,1.000000,28.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
