title:up, start timestamp:1732155861.612625, stop timestamp:1732155901.809448, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:67, sampling rate:eeg_128;mot_32, samples:5149      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1732155861.612625,1732155861.615054,93.000000,0.000000,4315.897461,4303.717773,4315.256348,4306.666504,4291.538574,4284.358887,4340.256348,4389.358887,4308.461426,4301.794922,4458.589844,4489.358887,4346.666504,4409.487305,1706.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155861.620433,1732155861.622663,94.000000,0.000000,4317.051270,4303.589844,4320.256348,4304.871582,4269.487305,4282.692383,4341.410156,4391.922852,4304.230957,4301.282227,4457.563965,4487.948730,4347.051270,4412.436035,1544.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155861.628241,1732155861.630471,95.000000,0.000000,4314.871582,4298.461426,4319.358887,4304.358887,4264.487305,4288.589844,4345.256348,4392.692383,4305.512695,4298.846191,4456.153809,4493.205078,4342.820313,4413.333496,1586.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155861.636049,1732155861.638179,96.000000,0.000000,4312.563965,4296.410156,4317.179688,4301.538574,4278.589844,4290.000000,4347.563965,4389.102539,4304.743652,4293.205078,4452.179688,4491.794922,4337.307617,4408.589844,1730.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.666388,-0.069214,-0.714661,-0.200989,0.950800,0.191918,-0.019534,-65.882553,39.409458,44.902660
1732155861.643857,1732155861.645987,97.000000,0.000000,4310.128418,4297.179688,4317.051270,4301.282227,4278.077148,4288.846191,4344.487305,4387.563965,4302.563965,4292.179688,4450.897461,4483.974121,4340.000000,4404.615234,1706.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155861.651666,1732155861.653995,98.000000,0.000000,4309.743652,4298.717773,4318.974121,4303.589844,4288.205078,4292.051270,4341.794922,4388.974121,4307.307617,4298.077148,4451.282227,4481.153809,4340.384766,4403.589844,1544.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155861.659474,1732155861.661804,99.000000,0.000000,4312.179688,4298.461426,4318.717773,4304.102539,4301.538574,4293.717773,4345.384766,4391.282227,4310.769043,4297.051270,4447.948730,4480.128418,4331.666504,4399.102539,1586.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155861.667282,1732155861.669512,100.000000,0.000000,4307.179688,4297.820313,4320.512695,4302.051270,4279.871582,4292.051270,4347.179688,4392.179688,4307.563965,4293.589844,4444.743652,4479.871582,4330.384766,4397.051270,1730.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.666201,-0.070374,-0.714722,-0.200989,0.957148,0.194848,-0.017092,-65.778206,39.394993,44.667824
1732155861.675090,1732155861.677320,101.000000,0.000000,4298.717773,4296.410156,4321.922852,4302.820313,4263.974121,4293.077148,4345.641113,4391.410156,4308.461426,4297.051270,4446.794922,4482.051270,4335.641113,4398.846191,1706.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732155861.682899,1732155861.685328,102.000000,0.000000,4300.769043,4294.487305,4318.846191,4304.230957,4281.410156,4294.743652,4344.615234,4389.102539,4310.512695,4301.282227,4447.436035,4482.563965,4334.615234,4396.538574,1544.000000,1.000000,30.000000,,,,0.000000,2.000000,2.000000,0.000000,4.000000,2.000000,2.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
